DAY_TYPE,TIME_PER_HOUR,ORIGIN_PT_CODE,DESTINATION_PT_CODE,TOTAL_TRIPS
WEEKDAY,7,Buangkok,Outram Park,2705
WEEKDAY,17,Boon Keng,Hougang,2696
WEEKDAY,8,Punggol,Boon Keng,2690
WEEKDAY,15,Hougang,Punggol,2684
WEEKDAY,8,Hougang,Dhoby Ghaut,2679
WEEKDAY,21,Sengkang,Punggol,2678
WEEKDAY,13,Boon Keng,Farrer Park,2673
WEEKDAY,19,Boon Keng,Serangoon,2667
WEEKDAY,18,Chinatown,Punggol,2664
WEEKDAY,18,Sengkang,Hougang,2642
WEEKDAY,10,Punggol,Sengkang,2638
WEEKDAY,17,Hougang,Sengkang,2632
WEEKDAY,17,Dhoby Ghaut,Hougang,2629
WEEKDAY,7,Hougang,Little India,2628
WEEKDAY,18,Potong Pasir,Hougang,2618
WEEKDAY,17,Outram Park,Hougang,2618
WEEKDAY,8,Sengkang,Punggol,2617
WEEKDAY,18,Serangoon,Hougang,2617
WEEKDAY,8,Serangoon,Little India,2614
WEEKDAY,17,Outram Park,Serangoon,2597
WEEKDAY,18,Clarke Quay,Punggol,2587
WEEKDAY,7,Punggol,Little India,2574
WEEKDAY,18,Punggol,Hougang,2568
WEEKDAY,19,Chinatown,Sengkang,2565
WEEKDAY,9,Serangoon,Chinatown,2564
WEEKDAY,7,Punggol,HarbourFront,2555
WEEKDAY,7,Punggol,Serangoon,2554
WEEKDAY,19,Chinatown,Serangoon,2551
WEEKDAY,8,Serangoon,Boon Keng,2543
WEEKDAY,19,Hougang,Sengkang,2536
WEEKDAY,7,Sengkang,Serangoon,2529
WEEKDAY,8,Punggol,Sengkang,2526
WEEKDAY,19,Chinatown,Hougang,2519
WEEKDAY,18,Serangoon,Boon Keng,2516
WEEKDAY,14,Hougang,Punggol,2505
WEEKDAY,17,Boon Keng,Farrer Park,2504
WEEKDAY,18,Little India,Punggol,2504
WEEKDAY,20,Serangoon,Sengkang,2502
WEEKDAY,8,Sengkang,HarbourFront,2500
WEEKDAY,8,Punggol,Little India,2493
WEEKDAY,22,Punggol,Sengkang,2491
WEEKDAY,19,Boon Keng,Farrer Park,2485
WEEKDAY,15,Hougang,Sengkang,2476
WEEKDAY,8,Sengkang,Dhoby Ghaut,2471
WEEKDAY,8,Hougang,Farrer Park,2456
WEEKDAY,7,Boon Keng,Outram Park,2450
WEEKDAY,8,Serangoon,HarbourFront,2437
WEEKDAY,19,Serangoon,Hougang,2433
WEEKDAY,14,Boon Keng,Farrer Park,2415
WEEKDAY,16,Serangoon,Sengkang,2398
WEEKDAY,17,Punggol,Hougang,2397
WEEKDAY,19,Boon Keng,Hougang,2385
WEEKDAY,19,HarbourFront,Sengkang,2360
WEEKDAY,17,Chinatown,Serangoon,2359
WEEKDAY,19,Dhoby Ghaut,Serangoon,2358
WEEKDAY,16,Hougang,Punggol,2353
WEEKDAY,8,Buangkok,Clarke Quay,2352
WEEKDAY,17,Sengkang,Hougang,2349
WEEKDAY,18,Hougang,Serangoon,2340
WEEKDAY,14,Hougang,Sengkang,2339
WEEKDAY,17,Chinatown,Hougang,2334
WEEKDAY,7,Serangoon,Boon Keng,2332
WEEKDAY,9,Hougang,Chinatown,2325
WEEKDAY,14,Kovan,Sengkang,2318
WEEKDAY,18,Serangoon,Farrer Park,2309
WEEKDAY,18,Potong Pasir,Punggol,2308
WEEKDAY,8,Punggol,Hougang,2304
WEEKDAY,17,Dhoby Ghaut,Serangoon,2301
WEEKDAY,17,Potong Pasir,Sengkang,2294
WEEKDAY,17,Kovan,Sengkang,2291
WEEKDAY,7,Serangoon,Potong Pasir,2284
WEEKDAY,13,Hougang,Punggol,2274
WEEKDAY,15,Serangoon,Sengkang,2268
WEEKDAY,17,Chinatown,Sengkang,2267
WEEKDAY,20,Dhoby Ghaut,Serangoon,2260
WEEKDAY,20,Serangoon,Hougang,2258
WEEKDAY,8,Punggol,Potong Pasir,2257
WEEKDAY,21,Dhoby Ghaut,Serangoon,2254
WEEKDAY,10,Serangoon,Chinatown,2253
WEEKDAY,7,Buangkok,Hougang,2253
WEEKDAY,7,Kovan,Outram Park,2236
WEEKDAY,17,Outram Park,Punggol,2232
WEEKDAY,8,Hougang,HarbourFront,2232
WEEKDAY,19,Clarke Quay,Sengkang,2215
WEEKDAY,7,Serangoon,HarbourFront,2213
WEEKDAY,7,Serangoon,Chinatown,2212
WEEKDAY,6,Punggol,Serangoon,2211
WEEKDAY,18,Farrer Park,Boon Keng,2190
WEEKDAY,21,Serangoon,Sengkang,2185
WEEKDAY,7,Boon Keng,Serangoon,2180
WEEKDAY,9,Boon Keng,Chinatown,2174
WEEKDAY,20,Chinatown,Serangoon,2172
WEEKDAY,9,Punggol,Sengkang,2162
WEEKDAY,7,Hougang,Punggol,2159
WEEKDAY,19,Punggol,Hougang,2155
WEEKDAY,8,Boon Keng,Outram Park,2152
WEEKDAY,15,Kovan,Sengkang,2152
WEEKDAY,17,Potong Pasir,Serangoon,2148
